ID,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD
114,Low,F,M,1,95620.3,Y,52,10911.09,93,5455.545,545.5545,23.25,1,6,545.5545
115,High,F,S,0,85275.0,N,47,22482.25,151,11241.125,1124.1125,37.75,2,6,0.0
116,Low,F,M,1,66921.4,Y,43,15701.57,8,7850.785,785.0785,2.0,3,8,785.0785
117,High,F,M,1,98453.6,Y,46,13721.37,11,6860.685,686.0685,2.75,3,9,0.0
118,High,F,M,2,94026.8,Y,28,25002.5,10,12501.25,1250.125,2.5,1,10,0.0
119,High,F,S,2,57420.0,Y,61,25182.52,252,12591.26,1259.126,63.0,1,7,0.0
120,Medium,M,M,0,77000.0,N,44,3930.39,26,982.5975,98.25975,3.9,1,13,0.0
121,Low,M,M,2,47639.1,N,48,17481.75,39,8740.875,874.0875,9.75,3,10,874.0875
122,High,F,M,2,63234.5,Y,52,0.0,0,0.0,0.0,0.0,0,0,0.0
123,Medium,F,M,2,18296.4,Y,43,80.01,10,20.0025,2.00025,1.5,4,15,0.0
124,Low,F,S,0,39461.0,N,22,22872.29,103,11436.145,1143.6145,25.75,2,9,1143.6145
125,High,F,S,1,68000.0,N,60,22822.28,63,11411.14,1141.114,15.75,3,10,0.0
126,High,F,M,2,52957.0,Y,40,25792.58,125,12896.29,1289.629,31.25,1,9,0.0
127,High,F,S,2,86747.1,N,65,20152.02,37,10076.01,1007.601,9.25,2,8,0.0
128,Low,F,M,1,87404.6,N,63,21632.16,139,10816.08,1081.608,34.75,4,6,1081.608
129,Medium,M,S,2,20919.0,N,28,6260.63,153,1565.1575,156.51575,22.95,4,11,0.0
130,High,F,M,2,85394.0,Y,20,19281.93,14,9640.965,964.0965,3.5,3,9,0.0
131,Medium,F,S,0,2121.36,N,40,2020.2,36,505.05,50.505,5.4,1,10,0.0
132,High,F,M,2,63566.1,Y,56,7940.79,65,1985.1975,198.51975,9.75,2,19,0.0
133,Low,F,S,0,89813.6,N,13,14941.49,149,7470.745,747.0745,37.25,5,8,747.0745
134,High,F,M,2,82644.2,Y,33,21972.2,19,10986.1,1098.61,4.75,1,8,0.0
135,High,F,S,1,27783.6,N,14,4970.5,18,1242.625,124.2625,2.7,4,20,0.0
136,Medium,F,M,2,60485.5,N,42,11701.17,28,5850.585,585.0585,7.0,3,8,0.0
137,High,F,M,2,809.43,Y,32,0.0,0,0.0,0.0,0.0,0,0,0.0
138,High,M,S,1,76529.8,N,58,18461.85,20,9230.925,923.0925,5.0,1,9,0.0
139,Low,F,M,2,34577.7,N,63,29182.92,116,14591.46,1459.146,29.0,3,8,1459.146
140,High,F,M,0,80000.0,N,48,27562.76,45,13781.38,1378.138,11.25,5,5,0.0
141,Low,F,S,2,19008.4,Y,52,10541.05,137,5270.525,527.0525,34.25,5,6,527.0525
142,Medium,F,M,0,98056.3,N,56,23702.37,126,11851.185,1185.1185,31.5,4,10,1185.1185
143,High,M,M,0,73400.0,Y,64,0.0,0,0.0,0.0,0.0,0,0,0.0
144,High,M,M,0,78894.2,N,28,2000.2,43,500.05,50.005,6.45,1,17,0.0
145,High,M,S,1,16432.1,Y,21,20412.04,80,10206.02,1020.602,20.0,1,5,0.0
146,High,M,M,0,62797.9,N,54,8320.83,55,2080.2075,208.02075,8.25,3,17,0.0
147,Low,M,S,1,71329.9,Y,42,14271.43,45,7135.715,713.5715,11.25,4,8,713.5715
148,High,F,S,0,20913.6,N,53,22992.3,65,11496.15,1149.615,16.25,3,9,0.0
149,High,F,S,1,540.4,Y,39,12341.23,7,6170.615,617.0615,1.75,5,9,0.0
150,High,M,M,2,67339.8,N,17,27832.78,48,13916.39,1391.639,12.0,2,7,0.0
151,High,M,M,1,75799.9,N,46,22242.22,64,11121.11,1112.111,16.0,1,6,0.0
152,High,F,S,2,15688.5,N,53,14391.44,8,7195.72,719.572,2.0,3,7,0.0
153,Low,F,S,0,43382.3,N,16,29672.97,99,14836.485,1483.6485,24.75,2,5,1483.6485
154,High,F,S,0,5185.31,N,62,16391.64,30,8195.82,819.582,7.5,5,7,0.0
155,Medium,F,S,0,41000.0,N,16,26012.6,108,13006.3,1300.63,27.0,5,5,0.0
156,High,F,S,0,32098.0,N,22,22962.3,75,11481.15,1148.115,18.75,3,7,0.0
157,High,F,M,2,80087.7,N,42,8740.87,22,2185.2175,218.52175,3.3,3,16,0.0
158,Low,F,M,2,59691.3,N,38,21942.19,256,10971.095,1097.1095,64.0,2,9,1097.1095
159,Low,F,S,2,11251.1,Y,61,28422.84,113,14211.42,1421.142,28.25,3,8,1421.142
160,Medium,M,M,0,70908.7,N,50,7700.77,43,1925.1925,192.51925,6.45,1,13,0.0
161,Low,M,S,0,94928.3,N,40,14421.44,73,7210.72,721.072,18.25,1,9,721.072
162,High,F,M,2,50622.3,N,40,20452.05,90,10226.025,1022.6025,22.5,1,10,0.0
163,High,M,M,0,78000.0,Y,52,16201.62,18,8100.81,810.081,4.5,2,8,0.0
164,High,M,M,0,100020.0,Y,52,29552.96,62,14776.48,1477.648,15.5,4,10,0.0
165,High,F,M,1,56722.8,N,61,17371.74,51,8685.87,868.587,12.75,3,7,0.0
166,High,M,M,1,80000.0,N,53,0.0,0,0.0,0.0,0.0,0,0,0.0
167,Low,F,S,2,3416.62,Y,23,18971.9,104,9485.95,948.595,26.0,2,10,948.595
168,Medium,F,M,0,73400.0,Y,56,170.02,10,42.505,4.2505,1.5,1,13,0.0
169,Low,M,M,0,120000.0,Y,53,15271.53,25,7635.765,763.5765,6.25,2,6,763.5765
170,Low,F,M,2,8032.16,N,46,29682.97,59,14841.485,1484.1485,14.75,5,8,1484.1485
171,Low,F,S,1,93454.3,Y,49,18941.89,25,9470.945,947.0945,6.25,2,5,947.0945
172,Low,M,M,0,5745.0,Y,15,26402.64,17,13201.32,1320.132,4.25,3,10,1320.132
173,Medium,F,S,0,83287.0,N,77,410.04,208,102.51,10.251,31.2,3,14,0.0
174,Low,F,S,0,92564.1,Y,49,23172.32,51,11586.16,1158.616,12.75,5,8,1158.616
175,High,M,S,0,86448.2,Y,38,4910.49,82,1227.6225,122.76225,12.3,1,16,0.0
176,High,F,M,2,48322.5,Y,49,6690.67,43,1672.6675,167.26675,6.45,1,20,0.0
177,High,F,M,2,81913.8,Y,50,6700.67,46,1675.1675,167.51675,6.9,5,18,0.0
178,High,F,S,0,919.93,N,38,27282.73,93,13641.365,1364.1365,23.25,4,8,0.0
179,High,F,M,2,69486.8,N,31,7720.77,9,1930.1925,193.01925,1.35,3,17,0.0
180,High,F,M,2,24482.8,N,34,0.0,0,0.0,0.0,0.0,0,0,0.0
181,Low,F,M,0,14573.6,N,65,26612.66,236,13306.33,1330.633,59.0,5,10,1330.633
182,High,F,M,2,92103.8,N,52,7420.74,7,1855.185,185.5185,1.05,5,15,0.0
183,High,F,S,2,8392.14,Y,37,25032.5,54,12516.25,1251.625,13.5,1,9,0.0
184,High,F,S,0,17138.2,N,64,20012.0,84,10006.0,1000.6,21.0,3,9,0.0
185,High,F,M,2,47010.1,N,57,2540.25,164,635.0625,63.50625,24.6,2,15,0.0
186,High,F,S,1,67239.4,N,44,12891.29,53,6445.645,644.5645,13.25,5,6,0.0
187,High,M,M,1,69406.7,Y,30,6900.69,128,1725.1725,172.51725,19.2,3,15,0.0
188,High,F,M,2,83259.3,N,51,0.0,0,0.0,0.0,0.0,0,0,0.0
189,High,M,S,2,60095.2,Y,23,1710.17,116,427.5425,42.75425,17.4,1,18,0.0
190,Medium,F,M,2,2185.6,N,53,7120.71,20,1780.1775,178.01775,3.0,5,14,0.0
191,Low,M,M,1,76511.3,N,62,21682.17,17,10841.085,1084.1085,4.25,5,5,1084.1085
192,Low,F,M,1,6946.07,N,23,25772.58,8,12886.29,1288.629,2.0,4,5,1288.629
193,Medium,F,M,2,11234.7,Y,49,690.07,112,172.5175,17.25175,16.8,3,12,0.0
194,High,F,M,2,36660.9,Y,40,0.0,0,0.0,0.0,0.0,0,0,0.0
195,Low,F,M,2,68462.8,N,34,24392.44,60,12196.22,1219.622,15.0,3,5,1219.622
196,Medium,F,M,2,72841.3,N,47,10361.04,72,5180.52,518.052,18.0,1,5,518.052
197,Medium,F,M,2,63670.8,Y,46,27392.74,51,13696.37,1369.637,12.75,5,5,0.0
198,Low,M,S,0,83287.0,N,45,29732.97,35,14866.485,1486.6485,8.75,4,8,1486.6485
199,High,F,S,1,66000.0,Y,45,20442.04,100,10221.02,1022.102,25.0,3,9,0.0
200,Medium,M,M,0,12387.6,N,56,7000.7,65,1750.175,175.0175,9.75,3,14,0.0
201,High,F,M,1,82931.3,N,65,19241.92,118,9620.96,962.096,29.5,3,7,0.0
202,High,F,M,2,57483.9,N,44,17011.7,27,8505.85,850.585,6.75,4,10,0.0
203,High,F,S,2,21274.0,N,46,10871.09,32,5435.545,543.5545,8.0,3,10,0.0
204,Low,F,M,2,28267.0,N,30,21872.19,192,10936.095,1093.6095,48.0,1,5,1093.6095
205,High,F,M,2,36725.1,N,56,8650.87,77,2162.7175,216.27175,11.55,5,18,0.0
374,High,F,M,2,7776.6,N,36,25872.59,68,12936.295,1293.6295,17.0,2,10,0.0
375,Low,M,M,1,2067.82,N,48,15251.53,70,7625.765,762.5765,17.5,3,8,762.5765
376,Medium,M,S,0,77000.0,N,63,4580.46,8,1145.115,114.5115,1.2,5,13,0.0
377,High,F,M,2,69343.3,N,42,6360.64,15,1590.16,159.016,2.25,4,15,0.0
378,High,F,M,0,83287.0,N,44,570.06,23,142.515,14.2515,3.45,5,15,0.0
379,Medium,F,M,0,14932.5,N,46,4910.49,6,1227.6225,122.76225,0.9,4,12,0.0
380,High,F,S,0,27498.1,N,53,2200.22,9,550.055,55.0055,1.35,4,18,0.0
381,High,F,M,2,21419.9,N,60,26392.64,103,13196.32,1319.632,25.75,4,7,0.0
382,Medium,F,M,2,30665.2,Y,23,5830.58,63,1457.645,145.7645,9.45,1,14,0.0
383,Medium,F,M,1,70000.0,Y,67,6080.61,30,1520.1525,152.01525,4.5,1,11,0.0
384,Low,F,M,2,50561.3,N,46,16601.66,113,8300.83,830.083,28.25,2,5,830.083
385,Low,F,S,2,23464.0,Y,61,22432.24,41,11216.12,1121.612,10.25,3,5,1121.612
386,Low,F,M,2,194.57,N,47,28262.83,38,14131.415,1413.1415,9.5,5,8,1413.1415
387,Low,F,M,1,98680.4,Y,46,17581.76,8,8790.88,879.088,2.0,5,10,879.088
388,Low,M,M,0,65619.7,Y,53,13561.36,144,6780.68,678.068,36.0,1,10,678.068
389,Low,F,M,1,95620.3,Y,47,10911.09,93,5455.545,545.5545,23.25,3,6,545.5545
390,Low,F,S,0,85275.0,N,62,22482.25,151,11241.125,1124.1125,37.75,4,8,1124.1125
391,High,F,M,1,66921.4,Y,46,15701.57,8,7850.785,785.0785,2.0,5,9,0.0
392,Medium,F,M,1,98453.6,Y,70,13721.37,11,6860.685,686.0685,2.75,1,6,0.0
393,Low,F,M,2,94026.8,Y,28,25002.5,10,12501.25,1250.125,2.5,5,9,1250.125
394,High,F,S,2,57420.0,Y,55,25182.52,252,12591.26,1259.126,63.0,1,6,0.0
395,High,M,M,0,66666.0,N,45,3930.39,26,982.5975,98.25975,3.9,5,19,0.0
396,High,M,M,2,47639.1,N,41,17481.75,39,8740.875,874.0875,9.75,2,10,0.0
397,High,F,M,2,63234.5,Y,52,0.0,0,0.0,0.0,0.0,0,0,0.0
398,Medium,F,M,2,18296.4,Y,43,80.01,10,20.0025,2.00025,1.5,2,10,0.0
399,High,F,S,0,39461.0,N,22,22872.29,103,11436.145,1143.6145,25.75,4,6,0.0
400,Low,F,S,1,70000.0,N,56,22822.28,63,11411.14,1141.114,15.75,1,9,1141.114
401,Medium,M,M,1,47371.0,Y,55,4980.5,258,1245.125,124.5125,38.7,3,14,0.0
402,High,F,M,2,52957.0,Y,40,25792.58,125,12896.29,1289.629,31.25,4,7,0.0
403,High,F,S,2,86747.1,N,65,20152.02,37,10076.01,1007.601,9.25,2,7,0.0
404,Low,F,M,1,87404.6,N,63,21632.16,139,10816.08,1081.608,34.75,3,10,1081.608
405,Low,F,M,2,85394.0,Y,20,19281.93,14,9640.965,964.0965,3.5,2,5,964.0965
406,Medium,F,S,0,2121.36,N,40,2020.2,36,505.05,50.505,5.4,3,10,0.0
407,High,F,M,2,63566.1,Y,56,7940.79,65,1985.1975,198.51975,9.75,3,19,0.0
408,Medium,F,S,0,89813.6,N,13,14941.49,149,7470.745,747.0745,37.25,4,10,747.0745
409,Low,F,M,2,82644.2,Y,33,21972.2,19,10986.1,1098.61,4.75,5,9,1098.61
410,Medium,F,S,1,27783.6,N,14,4970.5,18,1242.625,124.2625,2.7,3,12,0.0
411,Low,F,M,2,60485.5,N,42,11701.17,28,5850.585,585.0585,7.0,3,7,585.0585
412,High,F,M,2,809.43,Y,32,0.0,0,0.0,0.0,0.0,0,0,0.0
413,Low,M,S,1,76529.8,N,58,18461.85,20,9230.925,923.0925,5.0,3,10,923.0925
414,Low,F,M,2,34577.7,N,63,29182.92,116,14591.46,1459.146,29.0,1,8,1459.146
415,High,F,M,0,66666.0,N,67,27562.76,45,13781.38,1378.138,11.25,4,9,0.0
416,High,F,S,2,19008.4,Y,52,10541.05,137,5270.525,527.0525,34.25,3,6,0.0
417,Low,F,M,0,98056.3,N,56,23702.37,126,11851.185,1185.1185,31.5,5,9,1185.1185
418,High,M,M,0,80000.0,Y,53,0.0,0,0.0,0.0,0.0,0,0,0.0
419,High,M,M,0,78894.2,N,53,2000.2,43,500.05,50.005,6.45,3,19,0.0
420,Low,M,S,1,16432.1,Y,21,20412.04,80,10206.02,1020.602,20.0,3,10,1020.602
421,Medium,M,S,1,62797.9,N,32,8320.83,55,2080.2075,208.02075,8.25,1,15,0.0
422,Low,M,S,1,71329.9,Y,42,14271.43,45,7135.715,713.5715,11.25,4,5,713.5715
423,Low,F,S,0,20913.6,N,53,22992.3,65,11496.15,1149.615,16.25,1,6,1149.615
424,High,F,S,1,540.4,Y,39,12341.23,7,6170.615,617.0615,1.75,2,10,0.0
425,High,M,M,2,67339.8,N,17,27832.78,48,13916.39,1391.639,12.0,4,6,0.0
426,Low,M,M,1,75799.9,N,46,22242.22,64,11121.11,1112.111,16.0,3,7,1112.111
427,Low,F,S,2,15688.5,N,53,14391.44,8,7195.72,719.572,2.0,3,7,719.572
428,Medium,F,S,0,43382.3,N,16,29672.97,99,14836.485,1483.6485,24.75,3,5,0.0
429,Low,F,S,0,5185.31,N,62,16391.64,30,8195.82,819.582,7.5,4,10,819.582
430,High,F,D,1,13011.4,N,16,26012.6,108,13006.3,1300.63,27.0,4,7,0.0
431,Low,F,S,0,35000.0,N,22,22962.3,75,11481.15,1148.115,18.75,3,8,1148.115
432,Medium,F,M,2,80087.7,N,42,8740.87,22,2185.2175,218.52175,3.3,2,11,0.0
433,High,F,M,2,59691.3,N,38,21942.19,256,10971.095,1097.1095,64.0,5,9,0.0
434,High,F,S,2,11251.1,Y,52,28422.84,113,14211.42,1421.142,28.25,5,7,0.0
435,Medium,M,M,1,70908.7,N,50,7700.77,43,1925.1925,192.51925,6.45,1,13,0.0
436,Low,M,S,0,94928.3,N,40,14421.44,73,7210.72,721.072,18.25,1,9,721.072
437,Low,F,M,2,50622.3,N,40,20452.05,90,10226.025,1022.6025,22.5,5,7,1022.6025
438,High,M,M,0,100020.0,Y,52,16201.62,18,8100.81,810.081,4.5,1,5,0.0
439,Low,M,M,0,65000.0,Y,52,29552.96,62,14776.48,1477.648,15.5,4,8,1477.648
440,Medium,F,S,2,93559.1,N,58,1520.15,29,380.0375,38.00375,4.35,1,10,0.0
441,Low,F,M,1,56722.8,N,61,17371.74,51,8685.87,868.587,12.75,4,9,868.587
442,High,M,M,1,120000.0,N,53,0.0,0,0.0,0.0,0.0,0,0,0.0
443,Low,F,S,2,3416.62,Y,23,18971.9,104,9485.95,948.595,26.0,4,9,948.595
444,High,F,M,0,78000.0,Y,56,170.02,10,42.505,4.2505,1.5,4,20,0.0
445,High,M,M,0,73400.0,Y,53,15271.53,25,7635.765,763.5765,6.25,1,7,0.0
446,High,F,M,2,8032.16,N,46,29682.97,59,14841.485,1484.1485,14.75,2,7,0.0
447,Low,F,D,1,93454.3,Y,49,18941.89,25,9470.945,947.0945,6.25,5,6,947.0945
448,High,M,M,0,5745.0,Y,15,26402.64,17,13201.32,1320.132,4.25,1,9,0.0
449,Medium,F,S,0,77000.0,N,59,410.04,208,102.51,10.251,31.2,4,14,0.0
450,High,F,S,0,92564.1,Y,49,23172.32,51,11586.16,1158.616,12.75,5,9,0.0
451,High,M,S,0,68000.0,Y,49,4910.49,82,1227.6225,122.76225,12.3,4,18,0.0
452,High,F,M,2,48322.5,Y,49,6690.67,43,1672.6675,167.26675,6.45,2,18,0.0
453,Medium,M,S,2,78373.5,N,35,6970.7,184,1742.675,174.2675,27.6,2,11,0.0
454,High,F,M,2,81913.8,Y,50,6700.67,46,1675.1675,167.51675,6.9,1,18,0.0
455,High,F,S,0,919.93,N,38,27282.73,93,13641.365,1364.1365,23.25,3,10,0.0
456,High,F,M,2,69486.8,N,31,7720.77,9,1930.1925,193.01925,1.35,3,15,0.0
457,High,F,M,2,24482.8,N,34,0.0,0,0.0,0.0,0.0,0,0,0.0
458,Low,F,M,0,14573.6,N,65,26612.66,236,13306.33,1330.633,59.0,4,10,1330.633
459,High,F,M,2,92103.8,N,52,7420.74,7,1855.185,185.5185,1.05,4,18,0.0
460,Low,F,S,2,8392.14,Y,37,25032.5,54,12516.25,1251.625,13.5,3,7,1251.625
461,Low,F,S,0,17138.2,N,64,20012.0,84,10006.0,1000.6,21.0,4,5,1000.6
462,Medium,F,M,2,47010.1,N,57,2540.25,164,635.0625,63.50625,24.6,4,13,0.0
463,Medium,F,S,0,67239.4,N,44,12891.29,53,6445.645,644.5645,13.25,4,6,0.0
464,High,M,M,1,69406.7,Y,38,6900.69,128,1725.1725,172.51725,19.2,3,16,0.0
465,High,F,M,2,83259.3,N,51,0.0,0,0.0,0.0,0.0,0,0,0.0
466,Medium,M,M,1,20818.5,N,13,9130.91,47,2282.7275,228.27275,7.05,2,11,0.0
467,Medium,F,M,2,2185.6,N,53,7120.71,20,1780.1775,178.01775,3.0,2,14,0.0
468,Low,M,M,1,76511.3,N,62,21682.17,17,10841.085,1084.1085,4.25,3,5,1084.1085
469,High,F,M,1,34555.0,N,23,25772.58,8,12886.29,1288.629,2.0,2,9,0.0
470,Medium,F,M,2,11234.7,Y,49,690.07,112,172.5175,17.25175,16.8,1,13,0.0
471,High,F,M,2,36660.9,Y,40,0.0,0,0.0,0.0,0.0,0,0,0.0
472,High,F,M,2,68462.8,N,34,24392.44,60,12196.22,1219.622,15.0,5,7,0.0
473,High,F,M,2,72841.3,N,47,10361.04,72,5180.52,518.052,18.0,2,5,0.0
474,Low,F,M,2,63670.8,Y,46,27392.74,51,13696.37,1369.637,12.75,4,9,1369.637
475,Low,M,S,0,80000.0,N,41,29732.97,35,14866.485,1486.6485,8.75,5,6,1486.6485
476,High,F,S,1,83287.0,Y,47,20442.04,100,10221.02,1022.102,25.0,2,7,0.0
683,Low,F,S,0,39461.0,N,22,22872.29,103,11436.145,1143.6145,25.75,2,6,1143.6145
684,High,F,M,1,71502.5,N,57,0.0,0,0.0,0.0,0.0,0,0,0.0
685,Low,F,S,1,66000.0,N,52,22822.28,63,11411.14,1141.114,15.75,3,6,1141.114
686,High,F,M,1,95011.5,N,52,0.0,0,0.0,0.0,0.0,0,0,0.0
687,Medium,M,M,1,47371.0,Y,55,4980.5,258,1245.125,124.5125,38.7,5,13,0.0
688,High,F,M,2,52957.0,Y,40,25792.58,125,12896.29,1289.629,31.25,3,9,0.0
689,High,F,S,2,86747.1,N,65,20152.02,37,10076.01,1007.601,9.25,4,9,0.0
690,Medium,F,M,0,57942.4,N,50,19351.94,105,9675.97,967.597,26.25,3,6,967.597
691,Low,F,M,1,87404.6,N,63,21632.16,139,10816.08,1081.608,34.75,5,5,1081.608
692,Medium,M,S,2,20919.0,N,55,6260.63,153,1565.1575,156.51575,22.95,3,13,0.0
693,High,F,M,2,85394.0,Y,20,19281.93,14,9640.965,964.0965,3.5,1,6,0.0
694,High,F,S,0,2121.36,N,40,2020.2,36,505.05,50.505,5.4,4,19,0.0
695,High,F,M,2,63566.1,Y,56,7940.79,65,1985.1975,198.51975,9.75,1,19,0.0
696,High,F,M,0,52089.6,N,48,10811.08,13,5405.54,540.554,3.25,2,8,0.0
697,Medium,F,S,1,58328.8,N,65,7370.74,123,1842.685,184.2685,18.45,2,14,0.0
698,Medium,F,S,0,89813.6,N,13,14941.49,149,7470.745,747.0745,37.25,1,9,0.0
699,Low,F,M,2,82644.2,Y,33,21972.2,19,10986.1,1098.61,4.75,1,9,1098.61
700,Medium,F,S,1,27783.6,N,14,4970.5,18,1242.625,124.2625,2.7,4,14,0.0
701,High,F,S,1,86252.8,Y,59,1460.15,43,365.0375,36.50375,6.45,3,20,0.0
702,High,F,M,1,38738.3,N,60,11551.16,48,5775.58,577.558,12.0,2,8,0.0
703,High,F,M,2,60485.5,N,42,11701.17,28,5850.585,585.0585,7.0,5,6,0.0
704,Low,F,M,1,56722.8,N,61,17371.74,51,8685.87,868.587,12.75,2,6,868.587
705,High,F,M,0,55000.0,N,48,370.04,28,92.51,9.251,4.2,1,17,0.0
706,High,F,M,2,809.43,Y,32,0.0,0,0.0,0.0,0.0,0,0,0.0
707,High,M,S,1,76529.8,N,58,18461.85,20,9230.925,923.0925,5.0,5,8,0.0
708,High,F,M,2,34577.7,N,63,29182.92,116,14591.46,1459.146,29.0,4,9,0.0
709,High,M,M,0,23000.0,Y,61,28922.89,45,14461.445,1446.1445,11.25,2,9,0.0
710,Low,F,M,0,77000.0,N,55,27562.76,45,13781.38,1378.138,11.25,2,8,1378.138
711,Low,F,S,2,19008.4,Y,52,10541.05,137,5270.525,527.0525,34.25,2,10,527.0525
712,Low,F,M,0,98056.3,N,56,23702.37,126,11851.185,1185.1185,31.5,5,6,1185.1185
713,High,M,M,0,73400.0,Y,53,0.0,0,0.0,0.0,0.0,0,0,0.0
714,High,F,M,0,53432.2,Y,57,12561.26,83,6280.63,628.063,20.75,4,9,0.0
715,High,M,M,0,78894.2,N,53,2000.2,43,500.05,50.005,6.45,5,18,0.0
716,High,M,S,1,16432.1,Y,21,20412.04,80,10206.02,1020.602,20.0,3,10,0.0
717,Medium,M,M,0,62797.9,N,54,8320.83,55,2080.2075,208.02075,8.25,4,12,0.0
718,Low,M,S,1,71329.9,Y,42,14271.43,45,7135.715,713.5715,11.25,2,5,713.5715
719,High,F,S,0,91498.9,N,52,21522.15,25,10761.075,1076.1075,6.25,5,9,0.0
720,High,M,S,0,3601.71,N,49,9570.96,111,2392.74,239.274,16.65,3,16,0.0
721,High,F,S,1,33084.3,Y,50,19771.98,105,9885.99,988.599,26.25,3,8,0.0
722,Low,F,S,0,20913.6,N,53,22992.3,65,11496.15,1149.615,16.25,5,8,1149.615
723,Medium,M,M,0,62724.5,Y,55,21992.2,52,10996.1,1099.61,13.0,5,5,0.0
724,Low,F,S,1,49553.9,Y,48,29942.99,48,14971.495,1497.1495,12.0,5,8,1497.1495
725,Low,F,S,1,540.4,Y,39,12341.23,7,6170.615,617.0615,1.75,1,5,617.0615
726,High,F,M,0,57255.4,N,27,27052.71,78,13526.355,1352.6355,19.5,1,7,0.0
727,Medium,F,S,1,71941.5,Y,45,7990.8,87,1997.7,199.77,13.05,4,13,0.0
728,High,F,S,2,72583.0,Y,22,5970.6,27,1492.65,149.265,4.05,5,19,0.0
729,Low,M,M,2,67339.8,N,17,27832.78,48,13916.39,1391.639,12.0,2,7,1391.639
730,High,F,M,1,88759.5,N,60,29302.93,114,14651.465,1465.1465,28.5,3,9,0.0
731,High,M,M,1,75799.9,N,46,22242.22,64,11121.11,1112.111,16.0,2,5,0.0
732,High,F,S,2,15688.5,N,53,14391.44,8,7195.72,719.572,2.0,4,10,0.0
733,Medium,F,S,0,43382.3,N,16,29672.97,99,14836.485,1483.6485,24.75,1,5,1483.6485
734,High,M,S,0,2805.01,Y,25,19931.99,11,9965.995,996.5995,2.75,1,8,0.0
735,Low,F,S,0,5185.31,N,62,16391.64,30,8195.82,819.582,7.5,4,5,819.582
736,High,F,S,0,42000.0,N,16,26012.6,108,13006.3,1300.63,27.0,4,8,0.0
737,High,F,S,0,38000.0,N,22,22962.3,75,11481.15,1148.115,18.75,2,6,0.0
738,Low,F,M,1,81641.2,Y,19,13931.39,78,6965.695,696.5695,19.5,2,6,696.5695
739,Medium,F,M,2,80087.7,N,42,8740.87,22,2185.2175,218.52175,3.3,5,15,0.0
740,Low,F,M,2,59691.3,N,38,21942.19,256,10971.095,1097.1095,64.0,4,5,1097.1095
741,High,F,S,2,11251.1,Y,43,28422.84,113,14211.42,1421.142,28.25,3,7,0.0
206,Low,M,S,1,94188.3,N,58,20862.09,19,10431.045,1043.1045,4.75,3,10,1043.1045
207,High,F,M,2,91861.0,Y,42,15321.53,6,7660.765,766.0765,1.5,5,9,0.0
208,High,F,S,1,12374.9,Y,33,17491.75,106,8745.875,874.5875,26.5,3,10,0.0
209,High,F,M,2,69133.9,Y,27,8580.86,37,2145.215,214.5215,5.55,3,15,0.0
210,Low,F,M,2,84948.0,Y,29,11141.11,12,5570.555,557.0555,3.0,2,9,557.0555
211,High,F,M,2,30998.8,N,41,2400.24,50,600.06,60.006,7.5,3,15,0.0
212,High,M,S,0,15924.2,N,14,0.0,0,0.0,0.0,0.0,0,0,0.0
213,High,M,M,2,21416.5,N,36,9900.99,8,2475.2475,247.52475,1.2,3,19,0.0
214,High,M,M,2,78554.2,N,17,5590.56,23,1397.64,139.764,3.45,4,19,0.0
215,High,M,S,1,3960.5,N,15,29782.98,66,14891.49,1489.149,16.5,5,5,0.0
216,Low,M,M,0,60101.1,Y,64,27702.77,124,13851.385,1385.1385,31.0,4,9,1385.1385
217,High,F,M,2,38215.9,N,31,0.0,0,0.0,0.0,0.0,0,0,0.0
218,High,F,M,1,13829.4,N,22,28002.8,160,14001.4,1400.14,40.0,5,10,0.0
219,Medium,F,M,2,49745.3,N,48,2840.28,24,710.07,71.007,3.6,1,12,0.0
220,Low,F,M,2,88427.0,N,14,22462.25,43,11231.125,1123.1125,10.75,5,7,1123.1125
221,Medium,F,M,2,98003.7,Y,26,1030.1,83,257.525,25.7525,12.45,5,11,0.0
222,High,M,S,0,89142.7,N,33,3760.38,5,940.095,94.0095,0.75,5,17,0.0
223,Low,F,S,0,74530.8,N,63,20892.09,106,10446.045,1044.6045,26.5,1,8,1044.6045
224,Low,F,S,0,35000.0,N,23,30003.0,262,15001.5,1500.15,65.5,3,8,1500.15
225,High,F,M,2,76289.2,N,48,22202.22,82,11101.11,1110.111,20.5,4,10,0.0
226,Medium,M,M,1,66931.9,N,64,11721.17,5,5860.585,586.0585,1.25,2,10,0.0
227,Low,F,D,1,9309.57,Y,24,40004.0,99,20002.0,2000.2,24.75,1,10,2000.2
228,High,F,M,1,14085.5,N,23,26002.6,26,13001.3,1300.13,6.5,3,8,0.0
229,High,F,S,0,32962.6,N,19,27002.7,154,13501.35,1350.135,38.5,5,9,0.0
230,High,F,S,0,40000.0,N,20,26002.6,61,13001.3,1300.13,15.25,5,9,0.0
231,Low,F,S,2,33330.0,N,21,33003.3,35,16501.65,1650.165,8.75,1,9,1650.165
232,High,F,S,1,32098.0,N,22,33003.3,9,16501.65,1650.165,2.25,5,5,0.0
